timestamp_us,audio_adc
76421611,7136
76422711,10121
76423811,12183
76424911,6496
76438412,1185
76439912,5163
76441512,7979
76442612,8171
76443712,2999
76444812,6902
76446312,6435
76447412,3834
76448512,7851
76449612,3328
76451112,3494
76452212,10964
76453312,5020
76454412,10828
76455912,8290
76546610,12170
76548210,5661
76549479,1
76551010,7562
76552110,12211
76553210,6771
76554310,12164
76555410,24
76556910,12189
76558010,12175
76559110,12203
76560210,1175
76561712,8
76562812,12155
76563912,2587
76565012,12214
76566512,12178
76567612,678
76568712,12226
76569812,28
76571312,12207
76572412,12198
76573512,12191
76574612,12206
76576212,10281
76577312,12200
76578412,12176
76579512,12217
76581012,8920
76582112,10878
76583212,2672
76584312,12212
76585412,12191
76659910,596
76661510,11446
76662710,7208
76663810,12174
76664910,7443
76666411,5707
76667511,8222
76668611,12186
76669711,10715
76671211,24
76672311,2510
76673411,4205
76674511,6393
76676011,12174
76677111,1233
76678211,4512
76679311,6271
76680411,12222
76682011,10913
76683111,44
76684211,12176
76685311,3793
76686811,4877
76687911,12222
76689011,49
76690111,12171
76691611,3542
76692711,8046
76693811,10339
76694911,53
76696411,2493
76787112,8883
76788712,4231
76789912,12189
76791412,8377
76792512,11
76793612,12204
76794712,9
76796212,11802
76797312,12148
76798412,12188
76799512,43
76801012,12169
76802112,2875
76803212,9049
76804312,12198
76805412,1346
76806912,12206
76808012,7124
76809112,10612
76810212,12193
76811712,7442
76812812,12165
76813912,297
76815012,52
76816512,5014
76817612,9610
76818712,12203
76819812,5293
76821312,12225
76822412,9390
76823512,8885
76824612,3842
76826212,0
76827312,12191
76828412,25
76829512,12180
76831012,1669
76832112,12184
76833212,2990
76834312,9300
76835412,12229
76836912,1601
76838012,12189
76839112,0
76840212,12189
76938711,3905
76959312,276
76960812,3393
76962312,11033
76963568,6988
76964712,3878
76966212,5085
76967312,47
76968412,4494
76969512,57
76971012,4926
76972112,0
76973212,12209
76974312,7611
76975412,9763
76976912,6467
76978012,12216
76979112,12200
76980212,2947
77069916,12211
77071516,12176
77072712,8856
77073912,12201
77075012,7
77076512,12162
77077612,12192
77078712,26
77079812,12219
77081412,12197
77082512,31
77083612,12195
77084712,59
77086212,38
77087312,12170
77088412,9865
77089512,9620
77091012,12200
77092112,12151
77093212,12212
77094312,12159
77095412,12188
77096912,9920
77098012,12185
77099112,12175
77100212,12158
77101712,4717
77102812,0
77103912,8875
77105012,6654
77106512,9007
77107612,5791
77108712,6734
77109812,10733
77111412,8018
77112512,8291
77113612,10232
77114712,19
77116212,12171
77117312,7358
77118412,11358
77119512,12210
77121012,1609
77122112,9926
77123212,8250
77124312,6384
77125412,5954
77126912,0
77128012,10500
77129112,11183
77130212,9275
77204112,10328
77205712,9611
77207312,90
77208512,10537
77209612,6703
77211112,5407
77212212,5899
77213312,26
77214412,11915
77215912,4325
77217012,10421
77218112,7722
77219212,921
77309010,29
77310612,2938
77312112,10536
77313212,19
77314312,12180
77315412,12167
77316912,3902
77318012,12221
77319112,4
77320212,12171
77321712,12220
77322812,12209
77323912,12181
77325012,1654
77326512,12194
77327612,0
77328712,12173
77329812,1786
77331312,1526
77332412,12224
77333512,12201
77334612,12170
77336212,9771
77337312,9800
77338412,430
77339512,12166
77341012,12162
77342112,4300
77343212,12151
77344312,39
77345412,12217
77346912,25
77348012,9286
77349112,9760
77350212,6460
77351712,12185
77352812,21
77353912,12210
77355012,2022
77356512,7671
77357612,12185
77358712,4306
77359812,11919
77361312,2344
77362412,12197
77363512,0
77364612,12220
77366112,1975
77367212,12211
77368312,6310
77369412,763
77370912,12180
77372012,0
77373112,12174
77374212,1609
77375312,6437
77376912,12158
77378012,23
77379112,8534
77380212,10919
77455210,8248
77471912,7152
77473412,7468
77474512,20
77564612,10563
77566368,1159
77567512,4823
77568612,12204
77569712,8005
77571212,12196
77572312,365
77573412,6737
77574512,12183
77576012,9706
77577112,28
77578212,12210
77579312,41
77580412,1477
77581912,6408
77583012,12192
77584112,3768
77585212,7065
77586712,3222
77587812,8693
77588912,12166
77590012,1961
77591512,26
77592612,12183
77593712,23
77594812,41
77596412,12209
77597512,12175
77598612,0
77599712,12162
77601212,6700
77602312,38
77603412,12202
